Min;Sec;Zone;Pass;Start;End;Protection;Contested;Speed;SF;Outcome;Opp
69;32;Opp22;1;36.382;41.862;3;none;5.48;ML;ground pass;LEI
69;40;Opp22;1;44.442;49.762;3;attempt;5.32;ML;ground pass;LEI
69;48;Opp22;1;52.262;53.522;1;none;1.26;Stephan Lewies;pick-and-go;LEI
69;52;Opp22;1;56.88;60.58;3;none;3.7;ML;ground pass;LEI
69;59;Opp22;1;3.345;6.605;2;attempt;3.26;ML;ground pass;LEI
71;55;Own22;0;59.91;70.054;4;none;10.144;ML;box-kick;LEI
72;21;Own22;0;;;2;attempt;;;HAR penalty;LEI
74;41;Own22-10;0;58.603;62.251;2;none;3.648;ML;ground pass;LEI
74;47;Own22-10;1;4.799;6.487;2;none;1.688;ML;ground pass;LEI
74;54;Own10-50;2;11.965;12.985;1;none;1.02;ML;ground pass;LEI
75;9;Opp22;4;26.703;28.223;2;none;1.52;ML;ground pass;LEI
76;29;Own22;0;37.452;46.424;3;none;8.972;ML;box-kick;LEI
78;14;Opp10-22;3;44.463;47.703;2;attempt;3.24;ML;ground pass;LEI
78;21;Opp10-22;2;;;2;attempt;;;knockon on floor;LEI
79;35;Opp10-22;1;4.816;6.536;2;none;1.72;ML;ground pass;LEI
79;42;Opp10-22;2;11.858;13.218;3;none;1.36;ML;ground pass;LEI
79;45;Opp10-22;1;15.497;19.397;2;none;3.9;ML;ground pass;LEI
79;52;Opp10-22;1;22.375;25.635;2;none;3.26;ML;ground pass;LEI
79;58;Opp10-22;1;28.666;31.066;2;none;2.4;ML;ground pass;LEI
80;9;Opp22;2;39.338;40.898;1;none;1.56;ML;ground pass;LEI
81;31;Opp22;1;;;3;attempt;;;HAR penalty;LEI
1;36;Own22;0;8.317;9.957;4;none;1.64;DC;pick-and-go;BTH
4;29;Opp22;0;2.042;3.962;2;attempt;1.92;DC;ground pass;BTH
4;40;Opp22;3;12.522;14.082;1;attempt;1.56;DC;ground pass;BTH
4;44;Opp22;1;16.411;17.531;1;none;1.12;Wilco Louw;pick-and-go;BTH
4;48;Opp22;1;20.816;23.616;3;none;2.8;DC;ground pass;BTH
4;55;Opp22;1;27.701;30.141;3;none;2.44;DC;ground pass;BTH
6;53;Own22-10;0;25.546;31.026;3;attempt;5.48;DC;ground pass;BTH
7;1;Own22-10;1;33.899;40.819;4;disruption;6.92;DC;box-kick;BTH
8;52;Opp22;0;10.062;12.862;3;none;2.8;Matt SYmons;ground pass;BTH
8;59;Opp22;1;17.11;18.781;3;none;1.671;DC;ground pass;BTH
9;4;Opp10-22;1;21.837;23.717;3;attempt;1.88;DC;ground pass;BTH
9;12;Opp10-22;2;29.346;32.587;1;none;3.241;DC;ground pass;BTH
9;18;Opp10-22;1;;;2;attempt;;;BTH penalty;BTH
11;8;Own22;0;25.997;34.077;4;none;8.08;DC;box-kick;BTH
14;42;Own10-50;2;0.232;2.272;2;attempt;2.04;Matt SYmons;pick-and-go;BTH
14;48;Own10-50;0;5.606;7.054;3;none;1.448;DC;ground pass;BTH
18;21;Own22;0;39.263;44.783;3;attempt;5.52;DC;ground pass;BTH
18;30;Own22;1;47.314;57.994;5;attempt;10.68;DC;box-kick;BTH
20;52;Opp10-22;0;10.065;13.145;3;none;3.08;DC;ground pass;BTH
21;0;Opp10-22;1;17.35;22.585;2;none;5.235;DC;ground pass;BTH
21;8;Opp10-22;1;26.028;27.588;2;none;1.56;DC;ground pass;BTH
22;50;Opp50-10;0;8.076;10.556;2;none;2.48;DC;ground pass;BTH
22;57;Opp50-10;2;14.73;16.962;2;none;2.232;DC;ground pass;BTH
28;17;Own22-10;0;54.004;57.395;3;attempt;3.391;DC;ground pass;BTH
28;23;Own22-10;1;0.04;10.344;4;attempt;10.304;DC;box-kick;BTH
31;24;Own22-10;1;11.048;18.128;3;attempt;7.08;DC;box-kick;BTH
32;2;Own10-50;0;48.605;51.085;2;none;2.48;DC;ground pass;BTH
32;13;Opp10-22;3;59.781;63.821;2;attempt;4.04;Tyrone Green;ground pass;BTH
32;22;Opp10-22;2;8.964;10.764;2;attempt;1.8;DC;ground pass;BTH
32;27;Opp10-22;1;13.852;14.892;1;attempt;1.04;DC;ground pass;BTH
39;13;Opp22;0;59.977;62.062;2;none;2.085;Joe Marchant;ground pass;BTH
39;18;Opp22;1;4.697;6.537;2;attempt;1.84;Joe Marchant;ground pass;BTH
39;23;Opp22;1;9.737;11.007;3;none;1.27;DC;ground pass;BTH
39;30;Opp22;1;16.597;20.117;2;attempt;3.52;DC;ground pass;BTH
39;36;Opp22;1;23.307;25.342;2;none;2.035;DC;ground pass;BTH
39;42;Opp22;1;28.717;29.957;1;attempt;1.24;DC;ground pass;BTH
39;50;Opp22;2;37.092;38.212;2;none;1.12;DC;ground pass;BTH
39;55;Opp22;2;41.842;43.267;1;none;1.425;DC;ground pass;BTH
39;59;Opp22;2;45.722;48.282;2;attempt;2.56;DC;ground pass;BTH
40;4;Own22-10;0;34.65;40.29;2;none;5.64;Jack Kenningham;ground pass;BTH
40;13;Own22-10;1;43.513;49.833;4;none;6.32;DC;box-kick;BTH
43;37;Opp10-22;0;7.453;9.453;2;none;2;DC;ground pass;BTH
43;42;Opp10-22;2;14.283;17.603;2;attempt;3.32;DC;ground pass;BTH
43;51;Opp10-22;2;21.667;25.187;2;none;3.52;DC;ground pass;BTH
43;58;Opp10-22;1;28.625;30.065;2;attempt;1.44;DC;ground pass;BTH
45;56;Own10-50;1;26.868;29.388;3;none;2.52;DC;ground pass;BTH
53;41;Opp10-22;2;10.451;12.723;3;none;2.272;ML;ground pass;BTH
53;49;Opp10-22;2;18.196;20.236;1;none;2.04;ML;ground pass;BTH
53;56;Opp10-22;1;25.715;26.995;1;none;1.28;ML;ground pass;BTH
54;2;Opp10-22;2;31.392;33.952;1;none;2.56;ML;ground pass;BTH
54;9;Opp10-22;2;38.656;40.976;1;none;2.32;ML;ground pass;BTH
54;14;Opp10-22;1;43.44;44.76;2;none;1.32;Jack Kenningham;pick-and-go;BTH
54;18;Opp10-22;0;47.315;49.315;3;attempt;2;ML;ground pass;BTH
54;24;Opp22;1;;;2;attempt;;;HAR penalty;BTH
57;14;Own22;0;57.724;60.604;2;attempt;2.88;ML;ground pass;BTH
57;20;Own22;1;2.964;10.772;4;none;7.808;ML;box-kick;BTH
59;13;Opp10-22;4;23.366;25.406;2;none;2.04;ML;ground pass;BTH
61;12;Opp50-10;0;22.018;25.018;3;attempt;3;ML;ground pass;BTH
63;25;Opp50-10;0;55.957;58.837;2;none;2.88;ML;ground pass;BTH
63;31;Opp10-22;2;2.259;5.579;2;none;3.32;ML;ground pass;BTH
63;40;Opp50-10;3;10.531;13.939;2;attempt;3.408;ML;ground pass;BTH
75;41;Opp10-22;1;2.99;8.766;2;none;5.776;ML;ground pass;BTH
75;49;Opp10-22;1;11.7;14.836;1;none;3.136;ML;ground pass;BTH
75;55;Opp10-22;1;17.882;20.962;1;none;3.08;ML;ground pass;BTH
76;1;Opp10-22;1;23.913;28.297;3;attempt;4.384;ML;ground pass;BTH
76;9;Opp10-22;1;31.233;33.353;2;none;2.12;ML;ground pass;BTH
76;15;Opp10-22;1;37.051;41.083;2;none;4.032;ML;ground pass;BTH
76;27;Opp10-22;3;49.178;53.922;4;attempt;4.744;Matt SYmons;ground pass;BTH
76;39;Opp10-22;2;1.577;6.929;3;attempt;5.352;Alex Dombrandt;ground pass;BTH
76;48;Opp10-22;1;10.603;16.011;2;disruption;5.408;ML;ground pass;BTH
76;56;Opp10-22;1;18.806;22.486;2;disruption;3.68;ML;ground pass;BTH
77;4;Opp10-22;2;26.892;31.581;2;none;4.689;ML;ground pass;BTH
77;12;Opp10-22;2;34.684;35.564;2;none;0.88;ML;ground pass;BTH
77;19;Opp22;4;41.938;43.794;1;attempt;1.856;ML;pick-and-go;BTH
79;24;Own22-10;0;18.755;22.035;2;none;3.28;Aaron Morris;ground pass;BTH
79;31;Own22;1;25.626;32.529;2;none;6.903;ML;ground pass;BTH
79;41;Own22;1;35.801;40.803;2;attempt;5.002;ML;ground pass;BTH
79;50;Own22;1;44.145;50.602;3;attempt;6.457;ML;ground pass;BTH
4;2;Opp10-22;3;31.048;33.724;3;none;2.676;DC;ground pass;
4;9;Opp50-10;3;38.588;42.706;3;attempt;4.118;DC;pick-and-go;
6;27;Opp22;0;56.002;58.492;2;none;2.49;Aaron Morris;ground pass;
6;32;Opp22;1;1.646;3.312;2;none;1.666;DC;pick-and-go;
6;37;Opp10-22;1;6.572;13.517;4;attempt;6.945;Matt Symons;ground pass;
6;49;Opp10-22;2;;;2;jackaled;;;jackaled;
10;30;Opp10-22;0;59.608;65.565;3;attempt;5.957;Tyrone Green;ground pass;
10;39;Opp10-22;1;8.837;17.52;2;attempt;8.683;DC;ground pass;
10;52;Opp10-22;1;21.257;25.448;2;none;4.191;DC;ground pass;
11;0;Opp10-22;2;29.851;31.662;2;none;1.811;DC;ground pass;
15;16;Own10-50;1;44.888;46.826;2;none;1.938;DC;ground pass;
18;38;Own22-10;1;7.353;11.626;3;attempt;4.273;DC;box-kick;
24;0;Opp22;2;26.61;28.361;2;attempt;1.751;Jack Kenningham;pick-and-go;
26;25;Own22;1;51.407;59.904;5;none;8.497;DC;box-kick;
31;1;Opp22;0;39.289;40.409;2;none;1.12;DC;ground pass;
31;5;Opp22;1;44.036;;2;attempt;;;BRI pen;
32;18;Opp22;0;56.742;59.959;2;disruption;3.217;DC;ground pass;
32;24;Opp22;1;2.77;4.701;2;none;1.931;DC;ground pass;
33;37;Own10-50;0;32.191;35.604;2;attempt;3.413;DC;ground pass;
33;46;Opp50-10;2;41.299;43.21;2;none;1.911;DC;ground pass;
33;56;Opp50-10;3;;;1;attempt;;;HAR pen;
35;24;Own22;0;20.145;24.282;2;attempt;4.137;DC;box-kick;
36;49;Own10-50;0;27.868;29.228;1;attempt;1.36;DC;pick-and-go;
37;27;Opp50-10;0;8.013;9.783;2;none;1.77;DC;ground pass;
37;34;Opp50-10;2;13.426;14.638;1;none;1.212;DC;ground pass;
37;40;Opp50-10;2;19.938;21.444;2;none;1.506;DC;ground pass;
37;49;Opp50-10;1;28.417;30.48;3;none;2.063;DC;pick-and-go;
37;56;Own10-50;1;36.258;40.754;2;attempt;4.496;DC;ground pass;
38;6;Own10-50;1;43.867;46.323;2;attempt;2.456;DC;ground pass;
40;27;Opp10-22;2;48.768;50.168;2;attempt;1.4;DC;ground pass;
40;35;Opp10-22;2;58.042;59.418;3;none;1.376;DC;ground pass;
40;46;Opp22;0;8.58;14.872;3;attempt;6.292;Joe Marchant;ground pass;
41;0;Opp10-22;3;22.138;24.224;3;none;2.086;Luke Northmore;ground pass;
41;10;Opp22;4;31.997;34.042;1;disruption;2.045;DC;ground pass;
41;15;Opp22;1;37.376;42.096;2;attempt;4.72;DC;ground pass;
41;25;Opp22;1;46.861;48.927;2;attempt;2.066;DC;ground pass;
43;26;Own10-50;3;50.238;56.264;3;disruption;6.026;DC;ground pass;
43;36;Own10-50;1;0.477;7.23;3;none;6.753;DC;box-kick;
45;50;Own22-10;0;20.358;24.205;4;none;3.847;DC;box-kick;
47;58;Own10-50;2;53.884;55.244;3;none;1.36;DC;ground pass;
52;5;Own10-50;1;14.498;21.178;3;attempt;6.68;DC;ground pass;
52;15;Own10-50;1;24.567;28.143;3;none;3.576;DC;box-kick;
55;41;Own22;0;23.483;32.772;5;disruption;9.289;DC;box-kick;
57;47;Own22-10;0;55.284;57.124;4;attempt;1.84;DC;box-kick;
61;12;Own22;1;;;5;attempt;;;BRI pen;
67;3;Opp22;1;56.549;59.125;1;none;2.576;DC;ground pass;
67;13;Opp22;3;6.092;9.283;2;disruption;3.191;DC;ground pass;
67;22;Opp22;2;14.9;16.22;1;none;1.32;DC;pick-and-go;
67;29;Opp22;2;21.843;23.563;2;none;1.72;DC;ground pass;
69;2;Opp22;0;57.598;64.558;1;disruption;6.96;DC;ground pass;
69;11;Opp22;1;6.736;9.256;2;attempt;2.52;DC;ground pass;
69;18;Opp22;1;13.095;15.255;2;disruption;2.16;DC;ground pass;
69;22;Opp22;1;17.975;21.655;3;attempt;3.68;DC;ground pass;
69;29;Opp22;1;24.607;27.047;3;none;2.44;DC;ground pass;
69;34;Opp22;1;30.046;32.206;2;disruption;2.16;DC;ground pass;
71;28;Opp50-10;0;;;3;attempt;;;BRI pen;
71;42;Opp10-22;2;43.513;47.273;2;attempt;3.76;DC;pick-and-go;
75;4;Opp50-10;3;51.2;53.36;2;none;2.16;DC;ground pass;
77;5;Own22;0;56.672;63.392;3;disruption;6.72;DC;ground pass;
77;15;Own22;1;6.791;14.351;4;none;7.56;DC;box-kick;
79;52;Opp10-22;3;43.938;46.418;2;attempt;2.48;Joe Marchant;pick-and-go;
79;58;Opp10-22;1;49.29;51.41;1;none;2.12;Joe Marchant;ground pass;
80;3;Opp10-22;2;55;57.16;3;none;2.16;DC;ground pass;
80;12;Opp10-22;4;3.924;6.524;2;disruption;2.6;Jack Kenningham;pick-and-go;
80;17;Opp22;0;8.966;11.566;3;none;2.6;DC;ground pass;
81;7;Own22;0;1.879;5.911;3;disruption;4.032;DC;ground pass;
81;14;Own22;1;8.732;17.188;4;none;8.456;DC;box-kick;
82;18;Own10-50;0;12.651;15.931;2;none;3.28;DC;ground pass;
82;24;Own10-50;1;18.48;27.72;4;none;9.24;DC;box-kick;
84;9;Opp50-10;3;58.837;61.117;3;none;2.28;DC;ground pass;
84;16;Opp50-10;1;5.797;9.179;3;none;3.382;DC;ground pass;
84;24;Own10-50;3;;;2;jackaled;;;;
86;20;Opp50-10;0;10.633;12.673;3;none;2.04;DC;box-kick;
88;33;Opp50-10;0;4.161;5.777;3;none;1.616;Louis Lynagh;ground pass;
88;39;Own22-10;2;11.098;13.498;2;none;2.4;DC;ground pass;
89;13;Own22-10;0;43.805;47.005;4;attempt;3.2;Joe Marchant;ground pass;
89;31;Opp50-10;5;2.004;4.884;4;attempt;2.88;DC;ground pass;
89;37;Opp50-10;1;8.529;11.609;2;attempt;3.08;DC;ground pass;
89;52;Opp50-10;3;22.772;24.732;2;none;1.96;DC;ground pass;
89;58;Own10-50;1;29.577;34.641;2;none;5.064;DC;ground pass;
90;18;Opp10-22;0;48.838;52.078;3;none;3.24;DC;ground pass;
91;56;Opp22;5;38.23;39.99;3;none;1.76;DC;ground pass;
92;2;Opp22;1;44.55;46.71;2;none;2.16;DC;pick-and-go;
92;9;Opp22;0;51.041;57.578;4;attempt;6.537;Dino Lamb;pick-and-go;
92;19;Opp22;0;0.815;3.695;2;none;2.88;Matt Symons;ground pass;
